process_from,loc_from,process_to,loc_to,material,notes
sulfuric acid digestion,AU,molten_salt electrolysis,CN,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,AU,molten_salt electrolysis,JP,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,AU,molten_salt electrolysis,US,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,CN,metallothermic reduction,JP,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,CN,metallothermic reduction,US,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,CN,metallothermic reduction,EE,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,CN,molten_salt electrolysis,JP,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,CN,molten_salt electrolysis,US,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,CN,molten_salt electrolysis,EE,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,EE,metallothermic reduction,US,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,EE,molten_salt electrolysis,JP,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,EE,molten_salt electrolysis,US,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,MY,metallothermic reduction,CN,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,MY,metallothermic reduction,US,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,MY,metallothermic reduction,EE,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,MY,molten_salt electrolysis,CN,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,MY,molten_salt electrolysis,JP,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,MY,molten_salt electrolysis,US,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,MY,molten_salt electrolysis,EE,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
sulfuric acid digestion,US,metallothermic reduction,JP,neodynium_oxide,[co-flow co-rider] paired with existing DyOx arc
sulfuric acid digestion,US,molten_salt electrolysis,JP,dysprosium_oxide,[co-flow co-rider] paired with existing NdOx arc
