process,flow,value,unit,input,year,comments,type,process_location,supplying_location,"code (UUID, 3.8)",Ecoinvent selection
Bayer liquor refining,"treatment of wastewater, average, capacity 1E9l/year",-0.2633,m3,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP9: electrolysis - W6 electrolysis waste; normalization=263.3 kg aqueous waste converted to 0.2633 m3 assuming 1000 kg/m3; original_flow=W6 electrolysis waste; luo_unit_process=UP9: electrolysis; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - exact proxy with kg/ton to m3 conversion; uuid_note=Matches Luo Table 1 wastewater treatment proxy. Mass quantities converted to m3 assuming aqueous density of 1000 kg/m3. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW.",technosphere,CN,RoW,a9f2745f-2e27-44cb-8129-26648d64ce80,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | RoW | m3 | ecoinvent 3.8"
Bayer liquor refining,"market for hydrochloric acid, without water, in 30% solution state",0.012,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP10: refining - 36% HCl; normalization=0.012 kg per 1 kg 4N_Ga; original_flow=36% HCl; luo_unit_process=UP10: refining; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 hydrochloric acid market selection, using local ecoinvent 3.8.; peer_review_flag=Luo UP10 refining is within 4N route, not topology High-purity gallium refining SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node.",technosphere,CN,RoW,e80fb7a7-7dac-4f03-a973-3dc4e59518f4,"market for hydrochloric acid, without water, in 30% solution state | hydrochloric acid, without water, in 30% solution state | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",0.29,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP10: refining - Electricity; normalization=0.29 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP10: refining; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication.; peer_review_flag=Luo UP10 refining is within 4N route SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_CN: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,CN,CN,7c99ce8f-3341-4a96-81c4-22f83bc7af27,"market group for electricity, high voltage | electricity, high voltage | CN | kWh | ecoinvent 3.8"
Bayer liquor refining,"treatment of wastewater, average, capacity 1E9l/year",-1.80E-05,m3,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP10: refining - W7 refining waste; normalization=0.018 kg aqueous waste converted to 1.8e-05 m3 assuming 1000 kg/m3; original_flow=W7 refining waste; luo_unit_process=UP10: refining; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - exact proxy with kg/ton to m3 conversion; uuid_note=Matches Luo Table 1 wastewater treatment proxy. Mass quantities converted to m3 assuming aqueous density of 1000 kg/m3.; peer_review_flag=Luo UP10 refining is within 4N route SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW.",technosphere,CN,RoW,a9f2745f-2e27-44cb-8129-26648d64ce80,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | RoW | m3 | ecoinvent 3.8"
Bayer liquor refining,4N_Ga,1,kg,FALSE,2025,"Source: Luo 2025; table=Table 1; row=Final product - Ga metal (99.99%); normalization=1 kg per 1 kg 4N_Ga; original_flow=Ga metal (99.99%); luo_unit_process=Final product; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Not applicable - foreground output; peer_review_flag=mapped to topology material 4N_Ga SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node.",production,CN,CN,,FOREGROUND_OUTPUT: topology material 4N_Ga; no ecoinvent UUID assigned
Bayer liquor refining,"electricity, high voltage, production mix",17.23,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP1: ingredient preparation - Electricity; normalization=17.23 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP1: ingredient preparation; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,market for cationic resin,3,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP2: resin adsorption - Chelate resin; normalization=3 kg per 1 kg 4N_Ga; original_flow=Chelate resin; luo_unit_process=UP2: resin adsorption; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - Luo proxy for chelating resin; uuid_note=Luo states chelating resin is not directly available in ecoinvent and uses cationic resin as a proxy.; peer_review_flag=proxy material SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,GR,RoW,455532ae-1a7b-48dc-8474-16dbdc0eea48,market for cationic resin | cationic resin | RoW | kg | ecoinvent 3.8
Bayer liquor refining,"electricity, high voltage, production mix",11.39,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP2: resin adsorption - Electricity; normalization=11.39 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP2: resin adsorption; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",3.27,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP3: resin washing - Electricity; normalization=3.27 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP3: resin washing; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"tap water production, conventional treatment",1860,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP3: resin washing - Water; normalization=1.86 ton converted to 1860 kg per 1 kg 4N_Ga; original_flow=Water; luo_unit_process=UP3: resin washing; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 tap water treatment selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. TAP_WATER_SIGN_CORRECTED_FOR_LIAISON: tap water production input converted from negative physical-source sign to positive technosphere input; wastewater treatment rows remain negative.",technosphere,GR,RoW,6f427cb8-804f-4c6b-b276-ab83bd2464ce,"tap water production, conventional treatment | tap water | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"treatment of wastewater, average, capacity 1E9l/year",-1.86,m3,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP3: resin washing - W2 wastewater; normalization=1.86 ton aqueous waste converted to 1.86 m3 assuming 1000 kg/m3; original_flow=W2 wastewater; luo_unit_process=UP3: resin washing; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - exact proxy with kg/ton to m3 conversion; uuid_note=Matches Luo Table 1 wastewater treatment proxy. Mass quantities converted to m3 assuming aqueous density of 1000 kg/m3. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,GR,RoW,a9f2745f-2e27-44cb-8129-26648d64ce80,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | RoW | m3 | ecoinvent 3.8"
Bayer liquor refining,sulfuric acid production,56,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - 98% sulfuric acid; normalization=56 kg per 1 kg 4N_Ga; original_flow=98% sulfuric acid; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 sulfuric acid production selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,GR,RoW,a69fcb0a-ce51-40be-b74c-ae895861e3bb,sulfuric acid production | sulfuric acid | RoW | kg | ecoinvent 3.8
Bayer liquor refining,"tap water production, conventional treatment",1.65,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Water; normalization=1.65 kg per 1 kg 4N_Ga; original_flow=Water; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 tap water treatment selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. TAP_WATER_SIGN_CORRECTED_FOR_LIAISON: tap water production input converted from negative physical-source sign to positive technosphere input; wastewater treatment rows remain negative.",technosphere,GR,RoW,6f427cb8-804f-4c6b-b276-ab83bd2464ce,"tap water production, conventional treatment | tap water | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"treatment of wastewater, average, capacity 1E9l/year",-0.329,m3,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - W3 Salty water; normalization=329 kg aqueous waste converted to 0.329 m3 assuming 1000 kg/m3; original_flow=W3 Salty water; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - exact proxy with kg/ton to m3 conversion; uuid_note=Matches Luo Table 1 wastewater treatment proxy. Mass quantities converted to m3 assuming aqueous density of 1000 kg/m3. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,GR,RoW,a9f2745f-2e27-44cb-8129-26648d64ce80,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | RoW | m3 | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",0.72,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Electricity (cooling for water softening); normalization=0.72 kWh per 1 kg 4N_Ga; original_flow=Electricity (cooling for water softening); luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",1.35,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Electricity (cooling for acid dilution); normalization=1.35 kWh per 1 kg 4N_Ga; original_flow=Electricity (cooling for acid dilution); luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",9.9,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Electricity; normalization=9.9 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",4.55,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP5: leaching - Electricity; normalization=4.55 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP5: leaching; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",26.1,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP5: leaching - Electricity (cooling for leaching); normalization=26.1 kWh per 1 kg 4N_Ga; original_flow=Electricity (cooling for leaching); luo_unit_process=UP5: leaching; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_GR: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,GR,GR,44befae1-0a3c-4b84-9edd-d461e8640dab,"electricity, high voltage, production mix | electricity, high voltage | GR | kWh | ecoinvent 3.8"
Bayer liquor refining,"tap water production, conventional treatment",30.9,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP6: resin regeneration - Water; normalization=30.9 kg per 1 kg 4N_Ga; original_flow=Water; luo_unit_process=UP6: resin regeneration; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 tap water treatment selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. TAP_WATER_SIGN_CORRECTED_FOR_LIAISON: tap water production input converted from negative physical-source sign to positive technosphere input; wastewater treatment rows remain negative.",technosphere,GR,RoW,6f427cb8-804f-4c6b-b276-ab83bd2464ce,"tap water production, conventional treatment | tap water | RoW | kg | ecoinvent 3.8"
